repo_name,cbo_mean,cbo_median,cbo_std_dev,dit_mean,dit_median,dit_std_dev,lcom_mean,lcom_median,lcom_std_dev,loc_mean,loc_median,loc_std_dev
Android-Debug-Database,1.591,1.0,1.453,1.279,1.0,0.521,8.803,0.0,22.798,8.453,4.0,13.113
hsweb-framework,2.393,2.0,2.192,1.335,1.0,1.076,10.938,0.0,37.394,5.893,3.0,8.324
GmsCore,1.614,1.0,1.538,1.733,2.0,0.841,14.036,0.0,69.606,5.164,3.0,6.265
jmeter,1.265,1.0,1.635,1.999,2.0,1.502,62.126,3.0,382.757,8.064,4.0,11.023
tsunami-security-scanner,2.76,2.0,2.588,1.539,1.0,0.951,14.415,0.0,52.92,5.081,4.0,4.449
MaterialViewPager,1.873,1.0,1.654,1.295,1.0,0.553,9.386,0.0,26.482,8.797,5.0,11.649
flyway,1.512,1.0,1.998,1.508,1.0,0.946,53.573,1.0,617.807,6.464,3.0,9.98
atlas,1.677,1.0,2.206,1.436,1.0,0.917,29.884,1.0,157.488,8.545,3.0,15.735
AndroidPdfViewer,1.493,1.0,1.486,1.246,1.0,0.606,76.789,0.0,440.471,7.188,4.0,8.693
shardingsphere-elasticjob,2.34,2.0,1.928,1.153,1.0,0.503,3.005,0.0,11.812,6.177,4.0,5.191
LitePal,2.261,2.0,2.012,1.652,1.0,0.958,49.448,0.0,248.87,9.587,5.0,10.273
karate,1.87,2.0,1.855,1.207,1.0,0.601,115.256,1.0,627.569,6.769,3.0,10.273
otter,1.412,1.0,2.148,1.454,1.0,0.915,32.454,1.0,252.543,7.535,3.0,11.216
spring-reading,1.932,2.0,1.879,1.028,1.0,0.164,0.541,0.0,3.205,6.37,5.0,5.299
testcontainers-java,1.934,2.0,1.761,1.486,1.0,0.886,22.175,0.0,189.616,6.254,4.0,6.065
SimianArmy,2.214,1.0,2.415,1.423,1.0,0.775,25.161,3.0,112.005,8.088,4.0,9.499
hugo,1.864,2.0,1.72,1.143,1.0,0.378,27.714,6.0,43.523,7.909,5.5,8.537
subsampling-scale-image-view,1.906,1.0,1.976,1.583,1.0,0.884,79.722,0.0,641.019,10.117,5.0,17.612
HomeMirror,1.437,1.0,2.119,1.076,1.0,0.267,5.348,0.0,35.403,9.148,5.0,13.914
UltimateAndroidReference,0.5,0.5,0.577,1.0,1.0,,0.0,0.0,,4.5,4.5,1.291
im-server,1.413,1.0,1.827,1.553,1.0,2.53,110.73,1.0,398.272,7.215,3.0,12.739
seatunnel,2.081,1.0,2.316,1.319,1.0,0.645,24.326,0.0,419.036,8.428,4.0,11.931
material-theme-jetbrains,1.113,1.0,1.409,2.255,2.0,1.449,84.423,1.0,634.422,5.672,3.0,13.984
metrics,2.194,2.0,1.789,1.345,1.0,0.772,9.589,0.0,39.606,6.316,4.0,6.988
RxLifecycle,2.43,2.0,1.785,1.654,1.0,1.142,1.407,0.0,4.064,5.715,4.0,5.897
XPopup,1.683,1.0,1.815,1.577,1.0,1.127,22.902,0.0,135.878,8.105,4.0,13.003
kestra,2.806,2.0,2.591,1.504,1.0,0.767,10.446,0.0,51.088,7.376,4.0,8.559
ysoserial,1.833,1.0,2.249,1.342,1.0,0.667,8.892,1.0,57.458,8.298,3.0,9.693
vjtools,1.283,1.0,1.367,1.277,1.0,0.763,26.301,1.0,106.806,7.614,4.0,9.657
transmittable-thread-local,2.309,2.0,1.828,1.432,1.0,1.093,12.355,1.0,38.261,6.139,3.0,5.634
MVVMHabit,1.644,1.0,1.483,1.273,1.0,0.652,15.765,0.0,74.055,6.504,3.0,8.468
FrameworkBenchmarks,1.854,1.0,1.989,1.218,1.0,0.446,4.131,0.0,19.209,6.668,3.0,7.897
MyBookshelf,1.658,1.0,1.825,1.469,1.0,0.885,58.662,1.0,338.61,9.127,4.0,50.424
RxJava-Android-Samples,1.776,1.0,1.615,1.826,1.0,0.96,9.198,3.0,25.349,6.353,4.0,5.236
AndroidAsync,1.605,1.0,1.934,1.532,1.0,1.746,19.44,0.0,84.11,7.069,3.0,10.762
javacv,1.382,1.0,1.883,2.131,1.0,1.928,134.036,1.0,705.52,10.324,3.0,21.025
android-classyshark,1.139,1.0,1.401,1.278,1.0,0.925,10.25,1.0,27.569,8.152,4.0,10.255
hellocharts-android,1.64,1.0,1.871,1.667,1.0,0.903,40.294,1.0,150.074,6.739,4.0,8.791
react-native-svg,2.132,2.0,1.66,2.635,1.0,6.808,100.58,1.0,266.075,6.31,3.0,19.031
Shadow,1.654,1.0,1.599,1.785,1.0,1.058,17.208,0.0,94.721,6.546,3.0,8.255
algs4,1.349,1.0,1.258,1.022,1.0,0.169,45.556,0.0,244.622,8.009,5.0,7.535
swagger-core,2.234,1.0,2.946,1.234,1.0,0.608,48.526,0.0,730.959,6.178,3.0,15.815
SpringCloud-Learning,1.724,1.0,1.593,1.022,1.0,0.148,85.876,0.0,846.648,4.033,3.0,3.013
ShortcutBadger,2.422,2.0,2.528,1.161,1.0,0.454,3.484,1.0,7.532,8.819,7.0,8.928
aeron,2.142,2.0,2.323,1.301,1.0,0.927,108.443,0.0,1208.767,8.998,5.0,12.101
Mapper,2.271,1.0,2.608,1.242,1.0,0.529,36.013,0.0,174.822,6.973,3.0,8.615
dagger,1.999,2.0,1.761,1.229,1.0,0.716,5.988,0.0,45.363,7.399,4.0,8.664
Android-Bootstrap,2.021,2.0,1.728,1.671,1.0,0.858,31.392,2.0,77.891,14.702,4.0,109.333
sweet-alert-dialog,1.333,1.0,1.772,1.25,1.0,0.447,31.062,0.0,88.95,9.845,4.0,12.824
VBlog,1.164,1.0,1.423,1.034,1.0,0.186,29.069,1.0,92.841,3.802,3.0,3.946
RePlugin,1.864,1.0,1.902,1.417,1.0,0.677,32.02,0.0,182.824,10.01,5.0,13.167
TakePhoto,1.818,1.0,1.87,1.255,1.0,0.552,10.891,1.0,22.58,6.854,3.0,11.584
UltimateRecyclerView,1.624,1.0,1.61,1.694,1.0,1.083,41.393,0.0,268.317,6.599,3.0,9.635
SDE-Interview-Questions,0.0,0.0,,1.0,1.0,,0.0,0.0,,3.0,3.0,
agera,3.307,3.0,2.528,1.241,1.0,0.536,14.845,0.0,106.495,5.1,4.0,4.737
WeChatLuckyMoney,1.612,1.0,1.398,1.381,1.0,0.498,8.81,1.0,18.424,9.965,6.0,9.022
xmall,1.431,2.0,1.448,1.161,1.0,0.417,632.829,13.0,2870.931,4.022,4.0,3.641
baritone,2.233,1.0,2.896,1.386,1.0,0.809,21.626,1.0,122.858,7.39,3.0,13.709
ActionBarSherlock,1.687,1.0,1.544,1.972,1.0,1.506,63.398,0.0,264.279,6.927,4.0,10.333
awesome-low-level-design,1.027,1.0,1.269,1.099,1.0,0.417,4.806,0.0,14.384,4.904,3.0,4.851
SmartTabLayout,1.991,2.0,1.888,1.644,1.0,0.981,9.711,1.0,27.892,6.216,4.0,9.096
mapstruct,1.561,1.0,2.033,1.172,1.0,0.585,10.547,0.0,69.647,4.448,3.0,5.827
Timber,1.822,1.0,1.99,1.461,1.0,0.815,19.748,0.0,171.855,9.313,5.0,12.214
elasticsearch-sql,2.293,1.0,3.517,2.128,2.0,1.515,198.057,2.0,1298.081,11.804,4.0,36.427
nanohttpd,1.84,2.0,1.761,1.792,1.0,1.564,22.16,1.0,88.269,8.041,4.0,10.049
KnowStreaming,2.715,2.0,2.723,1.819,1.0,1.094,10.322,0.0,44.612,8.355,5.0,8.948
DroidPlugin,1.974,1.0,2.944,4.388,3.0,8.039,3.7,0.0,23.328,10.163,4.0,13.102
MinecraftForge,2.178,2.0,1.942,2.219,1.0,3.044,35.786,1.0,438.934,5.238,3.0,6.826
okhttputils,1.689,1.0,1.618,1.457,1.0,0.652,6.2,0.0,16.78,6.77,4.0,7.239
error-prone,2.122,1.0,2.249,1.51,1.0,1.122,22.007,0.0,307.079,5.524,3.0,7.311
HMCL,1.674,1.0,2.621,1.669,1.0,1.174,38.333,1.0,321.74,7.459,3.0,14.55
LSPatch,1.718,1.0,1.939,1.349,1.0,0.86,23.877,0.0,186.881,8.051,4.0,10.89
rest-assured,2.088,2.0,2.027,1.199,1.0,0.456,105.879,0.0,586.376,4.56,3.0,4.54
alluxio,1.977,1.0,2.215,1.493,1.0,1.574,32.554,1.0,241.378,7.882,4.0,9.783
netty-socketio,1.676,1.0,2.04,1.268,1.0,0.563,30.911,0.0,227.237,6.21,3.0,8.707
PowerJob,2.336,2.0,2.307,1.181,1.0,0.548,4.978,0.0,26.799,9.435,5.0,13.904
jvm-sandbox,1.662,1.0,2.111,1.326,1.0,0.828,12.361,0.0,57.595,6.499,3.0,9.546
walle,1.206,1.0,1.799,1.191,1.0,0.723,8.691,0.5,23.485,8.462,3.0,13.08
react-native-push-notification,2.47,2.0,2.175,1.241,1.0,0.435,15.483,0.0,50.251,12.664,6.0,27.0
angel,2.218,1.0,3.042,1.734,2.0,0.879,64.1,0.0,595.245,12.086,3.0,35.34
AndroidAutoLayout,1.498,1.0,2.122,2.0,2.0,0.703,8.808,8.0,16.371,5.769,3.0,6.901
JavaTutorial,0.0,0.0,0.0,1.0,1.0,0.0,0.333,0.0,0.577,2.667,2.0,1.155
mybatis-generator-gui,1.503,1.0,2.326,1.487,1.0,0.683,69.949,3.0,255.115,8.884,3.0,15.292
AndroidPerformanceMonitor,1.238,1.0,1.539,1.278,1.0,0.529,14.074,0.0,37.249,8.093,4.0,10.812
rabbitmq-tutorials,2.368,2.0,1.484,1.0,1.0,0.0,2.294,1.0,4.129,9.864,5.0,11.535
AndPermission,1.861,2.0,1.143,1.167,1.0,0.374,7.488,0.0,35.262,7.009,3.0,15.636
haven,1.75,1.0,1.939,1.392,1.0,0.587,11.772,1.0,39.765,9.391,4.0,14.369
PojavLauncher,1.87,1.0,1.808,1.401,1.0,0.686,125.333,1.0,1627.431,8.818,5.0,55.166
storm,1.326,1.0,1.533,1.288,1.0,0.926,33.071,1.0,133.141,6.464,3.0,8.462
BookReader,1.604,1.0,1.592,1.438,1.0,0.814,25.323,0.0,161.858,7.961,4.0,13.857
Toasty,4.519,5.0,2.583,1.062,1.0,0.25,56.625,0.0,213.871,4.688,3.0,6.885
springBoot,1.215,1.0,1.643,1.148,1.0,0.415,15.496,0.0,70.73,4.721,3.0,12.521
ansj_seg,2.215,2.0,2.496,1.188,1.0,0.436,9.578,0.0,42.668,11.665,6.0,14.601
processing,1.271,1.0,1.486,1.625,1.0,1.966,507.761,0.0,7175.113,10.293,4.0,17.792
AndroidPicker,1.753,1.0,1.652,1.651,1.0,1.273,52.277,0.0,334.733,7.382,4.0,9.727
RoundedImageView,1.727,1.0,1.549,1.8,2.0,0.775,107.467,0.0,273.825,8.653,4.0,10.544
Leaf,1.024,0.0,1.659,1.425,1.0,1.035,11.25,0.0,35.059,6.512,3.0,9.305
itstack-demo-design,0.775,0.0,1.249,1.107,1.0,0.325,5.326,0.0,12.476,4.576,3.0,6.23
AndroidProject,2.002,2.0,2.215,2.142,1.0,1.563,19.184,1.0,59.229,7.357,4.0,11.598
Android-skin-support,1.82,1.0,1.787,1.393,1.0,0.732,17.672,1.0,68.423,7.916,5.0,10.102
Android-Image-Cropper,2.113,1.0,1.883,1.375,1.0,0.54,70.375,0.0,236.734,10.499,4.0,13.388
zeppelin,1.874,1.0,2.184,1.255,1.0,0.659,44.531,1.0,354.786,8.81,4.0,11.682
android-floating-action-button,1.743,1.0,1.551,1.667,1.0,1.017,48.143,0.0,164.28,7.531,3.0,10.625
springcloud-learning,1.724,1.0,1.593,1.022,1.0,0.148,85.876,0.0,846.648,4.033,3.0,3.013
Spring-Cloud-Platform,0.954,0.0,1.797,1.407,1.0,0.828,57.65,0.0,211.24,4.628,3.0,5.782
JimuReport,1.4,1.0,1.314,1.1,1.0,0.316,2.3,0.0,4.832,6.25,4.0,6.56
WukongCRM-11.0-JAVA,2.948,2.0,2.816,1.209,1.0,0.461,13.03,0.0,68.828,9.191,4.0,17.776
junit5,2.183,2.0,1.806,1.311,1.0,1.037,37.041,0.0,800.815,4.969,3.0,4.216
DependencyCheck,1.694,1.0,2.138,1.853,2.0,1.001,80.725,3.0,719.614,10.146,4.0,16.693
smali,2.348,2.0,3.003,1.667,1.0,1.249,15.016,1.0,85.699,7.483,3.0,14.721
ion,2.085,2.0,1.879,1.46,1.0,1.465,23.599,0.0,205.83,7.936,4.0,10.688
wiremock,1.907,2.0,1.802,1.343,1.0,0.76,72.569,1.0,722.54,5.151,4.0,4.619
JFoenix,1.9,1.0,2.224,1.624,1.0,0.961,22.085,1.0,88.532,8.551,3.0,13.481
AntennaPod,2.092,1.0,2.274,1.489,1.0,0.781,21.676,1.0,110.892,9.484,5.0,12.406
remusic,1.531,1.0,2.024,1.453,1.0,0.808,41.646,0.0,345.672,8.954,4.0,14.336
async-http-client,2.157,1.0,2.637,1.568,1.0,0.961,41.594,1.0,243.867,6.934,3.0,8.823
gnirehtet,1.37,1.0,1.452,1.185,1.0,0.527,14.296,1.0,35.251,7.157,4.0,6.366
quartz,1.636,1.0,2.304,1.469,1.0,0.829,112.643,1.0,750.913,7.829,3.0,15.424
richeditor-android,1.459,1.0,0.961,1.14,1.0,0.413,46.953,0.0,305.869,5.982,3.0,18.99
jsonschema2pojo,2.234,2.0,2.319,1.143,1.0,0.436,76.923,0.0,579.467,6.443,4.0,6.228
byte-buddy,2.556,2.0,3.146,1.615,1.0,1.977,14.958,0.0,290.986,5.128,3.0,6.531
spring-cloud-examples,1.189,1.0,0.753,1.017,1.0,0.129,0.467,0.0,2.103,3.5,3.0,3.324
from-java-to-kotlin,0.125,0.0,0.354,1.0,1.0,0.0,0.0,0.0,0.0,3.875,3.0,1.458
config,1.997,1.0,2.119,2.055,1.0,4.374,76.18,0.0,399.353,6.448,3.0,9.83
SwipeBackLayout,1.416,1.0,1.207,1.389,1.0,0.698,61.333,3.0,163.941,8.354,5.0,12.61
MaterialEditText,1.012,1.0,1.168,1.308,1.0,0.471,742.846,0.0,2092.798,7.67,4.0,13.89
graphql-java,2.34,2.0,2.548,1.383,1.0,0.953,32.111,1.0,176.659,5.856,3.0,8.762
1brc,1.221,1.0,1.279,1.09,1.0,0.381,7.58,1.0,23.527,11.47,6.0,15.395
NumberProgressBar,0.66,0.0,0.962,1.333,1.0,0.516,91.833,0.0,222.018,6.851,4.0,6.64
grafika,1.691,1.0,1.722,1.748,2.0,0.86,6.893,0.0,16.887,11.411,7.0,12.305
EffectiveAndroidUI,1.199,1.0,1.152,1.342,1.0,0.628,11.616,1.0,27.728,4.625,3.0,15.887
dynamic-load-apk,1.508,1.0,1.462,1.435,1.0,0.738,9.419,0.0,30.008,6.017,4.0,5.662
smile,1.752,1.0,1.682,1.319,1.0,1.007,100.625,1.0,1349.356,8.115,3.0,12.423
material,1.482,1.0,1.627,1.646,1.0,1.195,54.495,1.0,190.824,7.423,4.0,12.974
LeetCode-Book,1.274,1.0,0.921,1.0,1.0,0.0,0.085,0.0,0.492,8.455,7.0,5.98
physical-web,1.751,1.0,1.712,1.288,1.0,0.557,26.712,0.0,209.175,7.497,4.0,9.475
xUtils3,1.528,1.0,2.002,1.408,1.0,0.882,27.45,2.0,102.754,7.816,3.0,13.009
Recaf,2.811,2.0,2.897,1.616,1.0,0.975,23.091,1.0,139.884,6.791,3.0,11.28
androidmvp,0.947,1.0,1.025,1.286,1.0,0.469,3.0,0.0,4.641,3.702,4.0,2.375
springfox,1.735,1.0,2.317,1.121,1.0,0.397,23.253,0.0,151.292,4.418,3.0,4.582
material-calendarview,1.968,2.0,1.631,1.534,1.0,0.726,69.011,0.0,531.317,5.852,3.0,7.155
motan,1.793,1.0,2.151,1.439,1.0,0.834,32.971,1.0,147.155,7.581,3.0,9.948
robolectric,1.986,2.0,1.756,1.359,1.0,1.181,70.252,0.0,595.731,6.152,4.0,7.538
gephi,1.467,1.0,1.868,1.673,1.0,1.672,24.684,0.0,124.299,8.115,3.0,15.437
java-jwt,3.368,3.0,2.19,1.628,1.0,1.32,142.744,1.0,531.446,6.994,6.0,4.699
pig,3.011,2.5,2.393,1.312,1.0,0.589,5.285,0.0,50.183,6.157,3.0,7.039
blade,1.685,1.0,1.763,1.235,1.0,0.774,42.156,0.0,185.467,7.479,4.0,13.16
java-eight-part,,,,,,,,,,,,
useful-java-links,1.312,1.0,1.311,1.023,1.0,0.15,1.833,0.0,6.857,7.307,4.0,6.473
BoomMenu,1.68,1.0,1.934,1.574,1.0,0.849,227.67,0.0,2078.288,8.844,4.0,23.534
btrace,1.706,1.0,1.922,1.312,1.0,0.871,100.525,0.0,1557.515,8.119,3.0,21.873
DiskLruCache,1.972,2.0,1.529,1.333,1.0,0.778,11.0,3.0,25.591,11.231,8.0,9.82
tcc-transaction,1.51,1.0,1.846,1.308,1.0,0.801,29.736,1.0,99.77,5.409,3.0,6.734
DiscreteScrollView,1.789,2.0,1.464,1.248,1.0,0.455,19.114,0.0,101.517,5.56,4.0,4.477
SoloPi,1.998,1.0,2.388,1.206,1.0,0.65,13.136,0.0,70.342,11.457,5.0,20.16
InfiniteCycleViewPager,1.355,1.0,1.257,1.634,2.0,0.888,102.537,0.0,513.513,8.543,3.0,16.496
circular-progress-button,1.51,1.0,1.362,1.282,1.0,0.51,25.333,0.0,131.913,7.912,4.0,8.575
SpringBootVulExploit,1.302,1.0,1.67,1.0,1.0,0.0,3.571,0.0,7.449,5.07,3.0,10.133
zxing-android-embedded,1.547,1.0,1.469,1.365,1.0,0.682,21.917,1.0,88.319,6.94,4.0,7.643
springside4,1.349,1.0,1.488,1.276,1.0,0.804,24.784,1.0,109.011,6.693,3.0,8.174
XXPermissions,3.369,3.0,2.096,1.807,1.0,2.284,30.284,0.0,161.694,11.814,6.0,25.211
aurora-imui,1.476,1.0,1.81,1.529,1.0,1.436,50.269,0.0,407.501,7.806,3.0,15.564
FastHub,1.982,2.0,1.982,1.438,1.0,0.684,34.757,1.0,131.603,6.007,3.0,8.126
u2020,2.064,2.0,1.875,1.425,1.0,0.817,23.619,0.5,184.588,6.661,4.0,8.303
Fast-Android-Networking,1.927,1.0,1.941,1.25,1.0,1.126,13.769,1.0,100.482,8.885,4.0,11.882
AndroidImageSlider,1.561,1.0,1.74,1.571,1.0,0.777,59.095,1.0,361.21,10.401,5.0,16.317
SwipeRecyclerView,1.426,1.0,1.605,1.389,1.0,0.836,26.942,0.0,115.439,7.042,4.0,9.183
flink-cdc,2.287,2.0,2.68,1.456,1.0,0.905,26.659,1.0,155.734,7.716,4.0,10.011
HTextView,1.508,1.0,1.478,1.56,1.0,0.763,3.484,0.0,8.563,8.809,4.0,14.375
lanproxy,1.504,1.0,1.906,1.19,1.0,0.503,8.206,0.0,27.17,9.615,3.0,16.612
Discovery,1.782,1.0,1.947,1.27,1.0,0.595,18.446,1.0,111.703,6.137,3.0,9.642
ShowcaseView,1.642,1.0,1.654,1.4,1.0,0.68,17.815,0.0,118.875,5.613,3.0,6.129
FlowLayout,2.294,2.0,2.137,1.412,1.0,0.557,5.0,0.0,16.008,8.165,3.0,10.903
jetlinks-community,2.396,2.0,2.173,1.234,1.0,0.479,12.679,0.0,64.068,5.802,3.0,7.481
react-native-splash-screen,1.654,1.5,2.097,1.25,1.0,0.452,2.0,0.5,2.697,7.962,3.5,8.614
Blurry,2.676,2.0,1.87,1.0,1.0,0.0,0.643,0.0,1.598,12.853,6.0,28.007
ListViewAnimations,2.179,2.0,1.821,2.058,2.0,1.235,10.46,0.0,45.058,6.181,4.0,5.701
disconf,1.405,1.0,2.046,1.358,1.0,0.829,12.616,0.0,68.215,6.562,3.0,8.436
datax-web,1.467,1.0,2.108,1.388,1.0,0.683,13.24,0.0,64.059,9.255,3.0,17.835
google-java-format,2.083,2.0,1.942,1.446,1.0,0.905,66.795,1.0,357.89,8.745,5.0,12.608
Android-ZBLibrary,1.74,1.0,1.612,1.56,1.0,1.033,26.667,0.0,131.611,7.362,4.0,8.442
StickyListHeaders,1.343,1.0,1.36,1.395,1.0,0.66,3.977,0.0,15.53,6.23,3.0,7.682
mini-spring,1.479,1.0,1.865,1.221,1.0,0.666,5.081,0.0,20.558,4.784,3.0,5.311
mosby,1.787,1.0,1.869,1.612,1.0,1.228,9.637,0.0,27.976,5.531,3.0,6.874
hippo4j,1.871,1.0,1.95,1.203,1.0,0.586,6.031,0.0,25.877,6.774,4.0,7.546
freeline,1.518,1.0,1.828,1.607,1.0,1.507,13.867,1.0,63.537,9.191,4.0,12.376
hertzbeat,2.36,2.0,2.503,1.16,1.0,0.453,15.17,0.0,138.331,9.091,5.0,13.063
lamp-cloud,1.989,1.0,2.361,1.288,1.0,0.464,7.438,0.0,35.233,6.373,3.0,9.278
kafdrop,1.543,1.0,2.201,1.287,1.0,0.806,32.356,0.0,139.383,5.87,3.0,7.131
barcodescanner,1.836,2.0,1.516,1.644,1.0,0.856,11.822,0.0,32.826,8.094,5.0,9.245
api-samples,2.492,2.0,2.924,1.0,1.0,0.0,4.381,0.0,9.848,19.713,13.0,16.369
uid-generator,0.624,0.0,0.95,1.28,1.0,0.737,11.72,1.0,21.199,5.481,3.0,4.626
rebound,1.631,1.0,1.786,1.322,1.0,0.581,34.931,0.0,238.104,8.081,4.0,10.82
scribejava,1.764,1.0,2.395,1.401,1.0,0.784,10.935,1.0,89.915,6.342,3.0,8.98
MagicCamera,1.124,1.0,2.293,1.469,1.0,0.683,7.631,0.0,33.22,8.975,5.0,10.765
IJPay,1.999,1.0,2.184,1.37,1.0,0.58,134.154,0.0,1283.365,6.999,3.0,6.958
AndroidVideoCache,2.152,2.0,2.071,1.494,1.0,0.661,14.325,1.0,34.245,6.895,5.0,5.143
dubbo-spring-boot-project,1.766,1.0,1.588,1.169,1.0,0.376,11.933,0.0,71.135,5.619,3.0,5.293
EdXposed,1.765,1.0,2.268,1.603,1.0,1.049,191.078,1.0,2193.772,8.163,3.0,14.979
javaparser,2.775,2.0,2.691,1.886,1.0,2.001,300.555,0.0,6260.937,7.564,4.0,14.794
wechat,1.601,1.0,1.927,1.235,1.0,0.631,15.454,0.0,96.532,10.493,5.0,16.003
android-job,2.721,2.0,2.419,1.767,1.0,2.349,32.005,1.0,135.395,8.167,5.0,8.703
TapTargetView,1.867,2.0,1.871,1.154,1.0,0.432,48.641,0.0,237.432,7.7,4.0,12.993
SystemBarTint,1.773,1.0,1.92,1.778,2.0,0.667,22.556,1.0,37.189,8.409,5.0,7.051
lettuce,2.468,2.0,1.998,1.428,1.0,1.002,167.386,0.0,3113.537,4.531,3.0,5.139
spring-boot-projects,1.405,1.0,1.988,1.075,1.0,0.428,9.075,1.0,19.733,4.553,3.0,4.63
XRecyclerView,1.897,1.0,2.109,1.422,1.0,0.605,9.042,0.0,63.091,9.972,5.0,13.017
austin,2.629,2.0,2.513,1.124,1.0,0.38,1.506,0.0,5.218,8.105,5.0,7.999
socket.io-client-java,1.905,2.0,1.802,1.096,1.0,0.418,4.245,0.0,34.006,10.133,5.0,10.973
JSqlParser,1.901,2.0,1.445,1.545,1.0,0.889,527.502,1.0,8349.172,4.916,3.0,6.542
android-advancedrecyclerview,2.018,2.0,2.215,2.408,2.0,2.212,32.023,0.0,194.659,6.692,4.0,8.195
shimmer-android,1.679,2.0,1.455,1.857,2.0,0.69,18.0,10.0,24.481,7.295,4.0,10.466
gradle-retrolambda,1.766,2.0,1.276,1.04,1.0,0.2,2.16,0.0,9.008,6.818,5.0,4.949
FastBle,1.897,1.0,2.006,1.295,1.0,0.57,26.067,0.0,184.245,8.667,4.0,17.865
generator,2.917,2.0,2.622,1.949,2.0,1.052,87.059,3.0,448.331,14.111,5.0,17.847
janusgraph,2.324,2.0,2.877,1.453,1.0,0.879,42.463,1.0,628.823,7.556,3.0,12.855
CompreFace,3.432,3.0,2.678,1.658,1.0,1.33,3.895,0.0,16.05,6.183,4.0,5.471
VitamioBundle,1.498,1.0,1.593,1.317,1.0,0.599,75.069,0.0,589.271,8.13,4.0,12.056
android-lifecycle,1.652,2.0,0.867,1.667,2.0,0.516,151.667,190.0,121.958,5.27,5.0,1.074
AmazeFileManager,2.262,1.0,2.646,1.449,1.0,0.988,28.537,0.0,165.968,11.095,5.0,18.977
titan,1.959,1.0,2.472,1.37,1.0,0.806,20.506,1.0,117.232,7.071,3.0,13.238
Side-Menu.Android,1.561,1.0,1.581,1.222,1.0,0.428,4.111,0.0,10.476,6.561,4.0,6.809
MusicBot,2.109,2.0,3.095,2.505,3.0,1.845,10.591,1.0,63.064,8.262,5.0,8.847
Dexter,1.801,2.0,1.259,1.2,1.0,0.56,4.15,0.0,14.592,4.746,4.0,3.564
twoway-view,1.976,2.0,1.622,1.824,1.0,1.212,86.588,1.0,429.293,7.525,5.0,7.601
FloatingActionButton,1.835,1.0,1.876,1.815,2.0,1.21,37.593,1.0,182.6,5.898,3.0,6.116
QR-Code-generator,1.606,1.0,1.473,1.421,1.0,1.261,19.579,1.0,26.29,11.81,9.0,11.334
linuxdeploy,2.004,2.0,1.674,1.649,2.0,0.484,35.892,3.0,119.326,9.833,4.0,12.948
BasePopup,1.803,1.0,1.732,1.695,1.0,1.209,34.294,1.0,226.372,7.105,4.0,9.387
google-authenticator,1.208,1.0,1.272,1.689,1.0,1.311,29.656,1.0,90.157,7.622,3.0,10.402
Android-Touch-Helper,2.256,2.0,2.407,1.182,1.0,0.389,1.945,0.0,8.445,17.197,7.0,36.735
okdownload,2.29,2.0,2.165,1.265,1.0,0.778,35.259,0.0,204.234,6.325,4.0,6.942
otto,1.612,1.0,1.29,1.388,1.0,0.874,3.553,0.0,14.621,6.65,3.0,7.928
springboot-guide,1.562,1.0,1.602,1.18,1.0,0.568,1.353,0.0,5.502,4.147,3.0,3.827
traccar,2.591,2.0,2.553,1.912,2.0,0.82,5.829,0.0,47.16,12.907,6.0,23.394
smartTable,1.953,1.0,2.924,1.19,1.0,0.457,25.929,0.0,203.92,8.651,3.0,17.249
thumbnailator,2.855,3.0,1.976,1.238,1.0,0.712,93.552,0.0,853.303,8.167,7.0,6.798
JS-Sorting-Algorithm,1.643,2.0,0.618,1.0,1.0,0.0,2.833,0.5,4.469,8.571,5.0,6.925
ctci,1.14,1.0,1.019,1.119,1.0,0.435,5.096,1.0,17.875,8.968,7.0,7.478
jeepay,3.689,2.0,4.164,1.821,2.0,0.883,4.288,0.0,29.23,10.761,5.0,12.955
web3j,2.064,1.0,2.793,1.741,1.0,1.707,33.483,0.0,193.75,5.606,3.0,9.583
jetcache,2.264,1.0,2.559,1.637,1.0,1.101,15.908,0.0,111.449,7.561,3.0,9.746
graphhopper,2.344,1.0,3.047,1.256,1.0,0.673,31.769,0.0,163.763,8.456,4.0,10.992
views-widgets-samples,1.389,1.0,1.565,1.73,1.0,1.185,7.013,0.0,21.033,8.838,4.0,13.216
Small,1.865,1.0,1.852,1.476,1.0,0.828,20.168,0.0,143.298,10.359,4.0,14.913
android-common,1.406,1.0,1.266,1.247,1.0,0.596,124.353,1.0,700.444,8.436,4.0,11.032
DKVideoPlayer,1.395,1.0,1.645,1.592,1.0,0.846,46.753,0.0,392.834,6.906,3.0,9.734
UltraViewPager,1.255,1.0,1.236,1.375,1.0,0.495,58.375,0.0,124.882,6.392,3.0,12.105
dialogplus,1.933,2.0,1.406,1.034,1.0,0.186,57.862,0.0,255.175,5.491,3.0,5.666
android-zxingLibrary,1.843,1.0,1.808,1.327,1.0,0.585,5.635,0.0,15.309,9.529,6.0,9.801
GravitySnapHelper,2.065,2.0,1.941,1.75,1.5,0.886,57.875,1.0,154.096,9.097,4.0,9.574
opentsdb,3.099,2.0,2.626,1.289,1.0,0.809,65.909,0.0,367.963,10.904,6.0,15.548
InstaMaterial,1.628,1.0,1.371,1.538,1.0,0.856,9.938,0.0,29.582,6.365,4.0,5.684
